Block數量,1000
Thread數量,10
預期模擬次數,100000000
實際模擬次數,99779756
執行時間(ms),2657
元素個數,26
轉盤個數,3
排列組合總數,17576
F-Q-U,5751,0.00576369%
F-Q-V,5611,0.00562339%
F-Q-W,5734,0.00574666%
F-Q-X,5654,0.00566648%
F-Q-Y,5745,0.00575768%
F-Q-Z,5600,0.00561236%
F-R-A,5493,0.00550512%
F-R-B,5699,0.00571158%
F-R-C,5705,0.00571759%
F-R-D,5631,0.00564343%
F-R-E,5689,0.00570156%
F-R-F,5621,0.00563341%
F-R-G,5651,0.00566347%
F-R-H,5780,0.00579276%
F-R-I,5642,0.00565445%
F-R-J,5711,0.00572361%
F-R-K,5712,0.00572461%
F-R-L,5699,0.00571158%
F-R-M,5665,0.0056775%
F-R-N,5605,0.00561737%
F-R-O,5685,0.00569755%
F-R-P,5719,0.00573162%
F-R-Q,5661,0.0056735%
F-R-R,5882,0.00589498%
F-R-S,5657,0.00566949%
F-R-T,5691,0.00570356%
F-R-U,5684,0.00569655%
F-R-V,5625,0.00563742%
F-R-W,5614,0.00562639%
F-R-X,5621,0.00563341%
F-R-Y,5792,0.00580478%
F-R-Z,5613,0.00562539%
F-S-A,5771,0.00578374%
F-S-B,5661,0.0056735%
F-S-C,5661,0.0056735%
F-S-D,5800,0.0058128%
F-S-E,5632,0.00564443%
F-S-F,5691,0.00570356%
F-S-G,5773,0.00578574%
F-S-H,5620,0.00563241%
F-S-I,5522,0.00553419%
F-S-J,5613,0.00562539%
F-S-K,5724,0.00573663%
F-S-L,5719,0.00573162%
F-S-M,5643,0.00565546%
F-S-N,5740,0.00575267%
F-S-O,5600,0.00561236%
F-S-P,5625,0.00563742%
F-S-Q,5695,0.00570757%
F-S-R,5640,0.00565245%
F-S-S,5678,0.00569053%
F-S-T,5618,0.0056304%
F-S-U,5546,0.00555824%
F-S-V,5582,0.00559432%
F-S-W,5716,0.00572862%
F-S-X,5707,0.0057196%
F-S-Y,5705,0.00571759%
F-S-Z,5698,0.00571058%
F-T-A,5615,0.00562739%
F-T-B,5607,0.00561938%
F-T-C,5710,0.0057226%
F-T-D,5688,0.00570056%
F-T-E,5595,0.00560735%
F-T-F,5736,0.00574866%
F-T-G,5804,0.00581681%
F-T-H,5697,0.00570957%
F-T-I,5551,0.00556325%
F-T-J,5764,0.00577672%
F-T-K,5574,0.0055863%
F-T-L,5695,0.00570757%
F-T-M,5785,0.00579777%
F-T-N,5678,0.00569053%
F-T-O,5725,0.00573764%
F-T-P,5750,0.00576269%
F-T-Q,5657,0.00566949%
F-T-R,5772,0.00578474%
F-T-S,5710,0.0057226%
F-T-T,5645,0.00565746%
F-T-U,5587,0.00559933%
F-T-V,5668,0.00568051%
F-T-W,5710,0.0057226%
F-T-X,5741,0.00575367%
F-T-Y,5746,0.00575868%
F-T-Z,5664,0.0056765%
F-U-A,5482,0.0054941%
F-U-B,5674,0.00568652%
F-U-C,5851,0.00586391%
F-U-D,5684,0.00569655%
F-U-E,5699,0.00571158%
F-U-F,5600,0.00561236%
F-U-G,5686,0.00569855%
F-U-H,5590,0.00560234%
F-U-I,5651,0.00566347%
F-U-J,5642,0.00565445%
F-U-K,5661,0.0056735%
F-U-L,5773,0.00578574%
F-U-M,5688,0.00570056%
F-U-N,5711,0.00572361%
F-U-O,5671,0.00568352%
F-U-P,5731,0.00574365%
F-U-Q,5710,0.0057226%
F-U-R,5663,0.0056755%
F-U-S,5607,0.00561938%
F-U-T,5618,0.0056304%
F-U-U,5642,0.00565445%
F-U-V,5694,0.00570657%
F-U-W,5611,0.00562339%
F-U-X,5817,0.00582984%
F-U-Y,5798,0.0058108%
F-U-Z,5647,0.00565946%
F-V-A,5607,0.00561938%
F-V-B,5629,0.00564142%
F-V-C,5635,0.00564744%
F-V-D,5569,0.00558129%
F-V-E,5643,0.00565546%
F-V-F,5719,0.00573162%
F-V-G,5571,0.0055833%
F-V-H,5770,0.00578274%
F-V-I,5727,0.00573964%
F-V-J,5777,0.00578975%
F-V-K,5757,0.00576971%
F-V-L,5570,0.00558229%
F-V-M,5629,0.00564142%
F-V-N,5709,0.0057216%
F-V-O,5866,0.00587895%
F-V-P,5683,0.00569554%
F-V-Q,5639,0.00565145%
F-V-R,5542,0.00555423%
F-V-S,5732,0.00574465%
F-V-T,5598,0.00561036%
F-V-U,5640,0.00565245%
F-V-V,5617,0.0056294%
F-V-W,5605,0.00561737%
F-V-X,5644,0.00565646%
F-V-Y,5632,0.00564443%
F-V-Z,5755,0.0057677%
F-W-A,5781,0.00579376%
F-W-B,5803,0.00581581%
F-W-C,5664,0.0056765%
F-W-D,5703,0.00571559%
F-W-E,5774,0.00578674%
F-W-F,5612,0.00562439%
F-W-G,5704,0.00571659%
F-W-H,5707,0.0057196%
F-W-I,5632,0.00564443%
F-W-J,5674,0.00568652%
F-W-K,5612,0.00562439%
F-W-L,5614,0.00562639%
F-W-M,5787,0.00579977%
F-W-N,5694,0.00570657%
F-W-O,5815,0.00582784%
F-W-P,5681,0.00569354%
F-W-Q,5612,0.00562439%
F-W-R,5645,0.00565746%
F-W-S,5727,0.00573964%
F-W-T,5757,0.00576971%
F-W-U,5753,0.0057657%
F-W-V,5526,0.0055382%
F-W-W,5536,0.00554822%
F-W-X,5766,0.00577873%
F-W-Y,5739,0.00575167%
F-W-Z,5806,0.00581882%
F-X-A,5892,0.00590501%
F-X-B,5485,0.00549711%
F-X-C,5677,0.00568953%
F-X-D,5730,0.00574265%
F-X-E,5770,0.00578274%
F-X-F,5648,0.00566047%
F-X-G,5722,0.00573463%
F-X-H,5682,0.00569454%
F-X-I,5741,0.00575367%
F-X-J,5753,0.0057657%
F-X-K,5489,0.00550112%
F-X-L,5793,0.00580579%
F-X-M,5608,0.00562038%
F-X-N,5652,0.00566448%
F-X-O,5707,0.0057196%
F-X-P,5710,0.0057226%
F-X-Q,5806,0.00581882%
F-X-R,5620,0.00563241%
F-X-S,5634,0.00564644%
F-X-T,5631,0.00564343%
F-X-U,5551,0.00556325%
F-X-V,5553,0.00556526%
F-X-W,5571,0.0055833%
F-X-X,5649,0.00566147%
F-X-Y,5554,0.00556626%
F-X-Z,5707,0.0057196%
F-Y-A,5507,0.00551916%
F-Y-B,5601,0.00561336%
F-Y-C,5654,0.00566648%
F-Y-D,5628,0.00564042%
F-Y-E,5504,0.00551615%
F-Y-F,5724,0.00573663%
F-Y-G,5715,0.00572761%
F-Y-H,5645,0.00565746%
F-Y-I,5660,0.00567249%
F-Y-J,5573,0.0055853%
F-Y-K,5626,0.00563842%
F-Y-L,5586,0.00559833%
F-Y-M,5594,0.00560635%
F-Y-N,5771,0.00578374%
F-Y-O,5819,0.00583184%
F-Y-P,5579,0.00559131%
F-Y-Q,5709,0.0057216%
F-Y-R,5732,0.00574465%
F-Y-S,5713,0.00572561%
F-Y-T,5680,0.00569254%
F-Y-U,5699,0.00571158%
F-Y-V,5704,0.00571659%
F-Y-W,5592,0.00560434%
F-Y-X,5691,0.00570356%
F-Y-Y,5745,0.00575768%
F-Y-Z,5637,0.00564944%
F-Z-A,5738,0.00575067%
F-Z-B,5824,0.00583686%
F-Z-C,5578,0.00559031%
F-Z-D,5618,0.0056304%
F-Z-E,5652,0.00566448%
F-Z-F,5765,0.00577773%
F-Z-G,5709,0.0057216%
F-Z-H,5776,0.00578875%
F-Z-I,5620,0.00563241%
F-Z-J,5673,0.00568552%
F-Z-K,5604,0.00561637%
F-Z-L,5655,0.00566748%
F-Z-M,5654,0.00566648%
F-Z-N,5632,0.00564443%
F-Z-O,5642,0.00565445%
F-Z-P,5543,0.00555524%
F-Z-Q,5643,0.00565546%
F-Z-R,5712,0.00572461%
F-Z-S,5745,0.00575768%
F-Z-T,5591,0.00560334%
F-Z-U,5609,0.00562138%
F-Z-V,5637,0.00564944%
F-Z-W,5607,0.00561938%
F-Z-X,5756,0.00576871%
F-Z-Y,5690,0.00570256%
F-Z-Z,5782,0.00579476%
G-A-A,5631,0.00564343%
G-A-B,5641,0.00565345%
G-A-C,5691,0.00570356%
G-A-D,5616,0.0056284%
G-A-E,5721,0.00573363%
G-A-F,5677,0.00568953%
G-A-G,5880,0.00589298%
G-A-H,5727,0.00573964%
G-A-I,5642,0.00565445%
G-A-J,5586,0.00559833%
G-A-K,5750,0.00576269%
G-A-L,5822,0.00583485%
G-A-M,5662,0.0056745%
G-A-N,5626,0.00563842%
G-A-O,5479,0.00549109%
G-A-P,5665,0.0056775%
G-A-Q,5717,0.00572962%
G-A-R,5677,0.00568953%
G-A-S,5561,0.00557327%
G-A-T,5627,0.00563942%
G-A-U,5805,0.00581781%
G-A-V,5639,0.00565145%
G-A-W,5681,0.00569354%
G-A-X,5862,0.00587494%
G-A-Y,5724,0.00573663%
G-A-Z,5797,0.0058098%
G-B-A,5822,0.00583485%
G-B-B,5631,0.00564343%
G-B-C,5680,0.00569254%
G-B-D,5731,0.00574365%
G-B-E,5727,0.00573964%
G-B-F,5660,0.00567249%
G-B-G,5784,0.00579677%
G-B-H,5737,0.00574966%
G-B-I,5612,0.00562439%
G-B-J,5569,0.00558129%
G-B-K,5743,0.00575568%
G-B-L,5712,0.00572461%
G-B-M,5527,0.0055392%
G-B-N,5707,0.0057196%
G-B-O,5669,0.00568151%
G-B-P,5746,0.00575868%
G-B-Q,5682,0.00569454%
G-B-R,5675,0.00568753%
G-B-S,5692,0.00570456%
G-B-T,5792,0.00580478%
G-B-U,5687,0.00569955%
G-B-V,5648,0.00566047%
G-B-W,5704,0.00571659%
G-B-X,5623,0.00563541%
G-B-Y,5756,0.00576871%
G-B-Z,5710,0.0057226%
G-C-A,5636,0.00564844%
G-C-B,5648,0.00566047%
G-C-C,5664,0.0056765%
G-C-D,5770,0.00578274%
G-C-E,5754,0.0057667%
G-C-F,5677,0.00568953%
G-C-G,5557,0.00556927%
G-C-H,5690,0.00570256%
G-C-I,5710,0.0057226%
G-C-J,5726,0.00573864%
G-C-K,5639,0.00565145%
G-C-L,5711,0.00572361%
G-C-M,5701,0.00571358%
G-C-N,5441,0.00545301%
G-C-O,5563,0.00557528%
G-C-P,5603,0.00561537%
G-C-Q,5638,0.00565044%
G-C-R,5603,0.00561537%
G-C-S,5711,0.00572361%
G-C-T,5624,0.00563641%
G-C-U,5710,0.0057226%
G-C-V,5581,0.00559332%
G-C-W,5712,0.00572461%
G-C-X,5698,0.00571058%
G-C-Y,5823,0.00583585%
G-C-Z,5652,0.00566448%
G-D-A,5745,0.00575768%
G-D-B,5603,0.00561537%
G-D-C,5675,0.00568753%
G-D-D,5649,0.00566147%
G-D-E,5608,0.00562038%
G-D-F,5675,0.00568753%
G-D-G,5782,0.00579476%
G-D-H,5642,0.00565445%
G-D-I,5640,0.00565245%
G-D-J,5710,0.0057226%
G-D-K,5637,0.00564944%
G-D-L,5610,0.00562238%
G-D-M,5611,0.00562339%
G-D-N,5689,0.00570156%
G-D-O,5677,0.00568953%
G-D-P,5709,0.0057216%
G-D-Q,5610,0.00562238%
G-D-R,5704,0.00571659%
G-D-S,5849,0.00586191%
G-D-T,5647,0.00565946%
G-D-U,5518,0.00553018%
G-D-V,5593,0.00560535%
G-D-W,5807,0.00581982%
G-D-X,5706,0.00571859%
G-D-Y,5544,0.00555624%
G-D-Z,5762,0.00577472%
G-E-A,5743,0.00575568%
G-E-B,5687,0.00569955%
G-E-C,5780,0.00579276%
G-E-D,5721,0.00573363%
G-E-E,5626,0.00563842%
G-E-F,5747,0.00575969%
G-E-G,5836,0.00584888%
G-E-H,5617,0.0056294%
G-E-I,5743,0.00575568%
G-E-J,5665,0.0056775%
G-E-K,5692,0.00570456%
G-E-L,5711,0.00572361%
G-E-M,5717,0.00572962%
G-E-N,5791,0.00580378%
G-E-O,5710,0.0057226%
G-E-P,5647,0.00565946%
G-E-Q,5578,0.00559031%
G-E-R,5709,0.0057216%
G-E-S,5640,0.00565245%
G-E-T,5666,0.00567851%
G-E-U,5590,0.00560234%
G-E-V,5607,0.00561938%
G-E-W,5685,0.00569755%
G-E-X,5730,0.00574265%
G-E-Y,5687,0.00569955%
G-E-Z,5598,0.00561036%
G-F-A,5737,0.00574966%
G-F-B,5663,0.0056755%
G-F-C,5677,0.00568953%
G-F-D,5651,0.00566347%
G-F-E,5733,0.00574565%
G-F-F,5689,0.00570156%
G-F-G,5676,0.00568853%
G-F-H,5746,0.00575868%
G-F-I,5748,0.00576069%
G-F-J,5633,0.00564543%
G-F-K,5680,0.00569254%
G-F-L,5657,0.00566949%
G-F-M,5655,0.00566748%
G-F-N,5598,0.00561036%
G-F-O,5708,0.0057206%
G-F-P,5789,0.00580178%
G-F-Q,5562,0.00557428%
G-F-R,5607,0.00561938%
G-F-S,5764,0.00577672%
G-F-T,5687,0.00569955%
G-F-U,5693,0.00570557%
G-F-V,5641,0.00565345%
G-F-W,5703,0.00571559%
G-F-X,5583,0.00559532%
G-F-Y,5678,0.00569053%
G-F-Z,5733,0.00574565%
G-G-A,5680,0.00569254%
G-G-B,5662,0.0056745%
G-G-C,5735,0.00574766%
G-G-D,5723,0.00573563%
G-G-E,5786,0.00579877%
G-G-F,5672,0.00568452%
G-G-G,5740,0.00575267%
G-G-H,5535,0.00554722%
G-G-I,5597,0.00560935%
G-G-J,5636,0.00564844%
G-G-K,5565,0.00557728%
G-G-L,5686,0.00569855%
G-G-M,5527,0.0055392%
G-G-N,5554,0.00556626%
G-G-O,5615,0.00562739%
G-G-P,5641,0.00565345%
G-G-Q,5663,0.0056755%
G-G-R,5634,0.00564644%
G-G-S,5519,0.00553118%
G-G-T,5622,0.00563441%
G-G-U,5597,0.00560935%
G-G-V,5729,0.00574165%
G-G-W,5693,0.00570557%
G-G-X,5727,0.00573964%
G-G-Y,5673,0.00568552%
G-G-Z,5761,0.00577372%
G-H-A,5624,0.00563641%
G-H-B,5556,0.00556826%
G-H-C,5672,0.00568452%
G-H-D,5652,0.00566448%
G-H-E,5532,0.00554421%
G-H-F,5739,0.00575167%
G-H-G,5637,0.00564944%
G-H-H,5606,0.00561837%
G-H-I,5611,0.00562339%
G-H-J,5740,0.00575267%
G-H-K,5736,0.00574866%
G-H-L,5686,0.00569855%
G-H-M,5636,0.00564844%
G-H-N,5702,0.00571459%
G-H-O,5551,0.00556325%
G-H-P,5633,0.00564543%
G-H-Q,5577,0.00558931%
G-H-R,5707,0.0057196%
G-H-S,5687,0.00569955%
G-H-T,5638,0.00565044%
G-H-U,5665,0.0056775%
G-H-V,5802,0.00581481%
G-H-W,5766,0.00577873%
G-H-X,5664,0.0056765%
G-H-Y,5690,0.00570256%
G-H-Z,5634,0.00564644%
G-I-A,5782,0.00579476%
G-I-B,5695,0.00570757%
G-I-C,5712,0.00572461%
G-I-D,5721,0.00573363%
G-I-E,5645,0.00565746%
G-I-F,5663,0.0056755%
G-I-G,5734,0.00574666%
G-I-H,5639,0.00565145%
G-I-I,5669,0.00568151%
G-I-J,5576,0.00558831%
G-I-K,5697,0.00570957%
G-I-L,5528,0.0055402%
G-I-M,5570,0.00558229%
G-I-N,5655,0.00566748%
G-I-O,5746,0.00575868%
G-I-P,5685,0.00569755%
G-I-Q,5740,0.00575267%
G-I-R,5575,0.00558731%
G-I-S,5712,0.00572461%
G-I-T,5775,0.00578775%
G-I-U,5628,0.00564042%
G-I-V,5856,0.00586893%
G-I-W,5694,0.00570657%
G-I-X,5674,0.00568652%
G-I-Y,5657,0.00566949%
G-I-Z,5653,0.00566548%
G-J-A,5705,0.00571759%
G-J-B,5721,0.00573363%
G-J-C,5753,0.0057657%
G-J-D,5533,0.00554521%
G-J-E,5715,0.00572761%
G-J-F,5721,0.00573363%
G-J-G,5880,0.00589298%
G-J-H,5627,0.00563942%
G-J-I,5738,0.00575067%
G-J-J,5576,0.00558831%
G-J-K,5606,0.00561837%
G-J-L,5687,0.00569955%
G-J-M,5744,0.00575668%
G-J-N,5613,0.00562539%
G-J-O,5741,0.00575367%
G-J-P,5660,0.00567249%
G-J-Q,5635,0.00564744%
G-J-R,5732,0.00574465%
G-J-S,5679,0.00569154%
G-J-T,5689,0.00570156%
G-J-U,5624,0.00563641%
G-J-V,5503,0.00551515%
G-J-W,5607,0.00561938%
G-J-X,5706,0.00571859%
G-J-Y,5729,0.00574165%
G-J-Z,5677,0.00568953%
G-K-A,5731,0.00574365%
G-K-B,5627,0.00563942%
G-K-C,5587,0.00559933%
G-K-D,5679,0.00569154%
G-K-E,5678,0.00569053%
G-K-F,5508,0.00552016%
G-K-G,5551,0.00556325%
G-K-H,5660,0.00567249%
G-K-I,5578,0.00559031%
G-K-J,5692,0.00570456%
G-K-K,5727,0.00573964%
G-K-L,5655,0.00566748%
G-K-M,5543,0.00555524%
G-K-N,5650,0.00566247%
G-K-O,5700,0.00571258%
G-K-P,5566,0.00557829%
G-K-Q,5634,0.00564644%
G-K-R,5755,0.0057677%
G-K-S,5591,0.00560334%
G-K-T,5850,0.00586291%
G-K-U,5741,0.00575367%
G-K-V,5574,0.0055863%
G-K-W,5749,0.00576169%
G-K-X,5658,0.00567049%
G-K-Y,5635,0.00564744%
G-K-Z,5795,0.00580779%
G-L-A,5690,0.00570256%
G-L-B,5723,0.00573563%
G-L-C,5509,0.00552116%
G-L-D,5596,0.00560835%
G-L-E,5681,0.00569354%
G-L-F,5714,0.00572661%
G-L-G,5726,0.00573864%
G-L-H,5674,0.00568652%
G-L-I,5688,0.00570056%
G-L-J,5664,0.0056765%
G-L-K,5707,0.0057196%
G-L-L,5672,0.00568452%
G-L-M,5627,0.00563942%
G-L-N,5716,0.00572862%
G-L-O,5648,0.00566047%
G-L-P,5688,0.00570056%
G-L-Q,5703,0.00571559%
G-L-R,5754,0.0057667%
G-L-S,5808,0.00582082%
G-L-T,5795,0.00580779%
G-L-U,5679,0.00569154%
G-L-V,5660,0.00567249%
G-L-W,5676,0.00568853%
G-L-X,5686,0.00569855%
G-L-Y,5680,0.00569254%
G-L-Z,5504,0.00551615%
G-M-A,5654,0.00566648%
G-M-B,5775,0.00578775%
G-M-C,5660,0.00567249%
G-M-D,5664,0.0056765%
G-M-E,5697,0.00570957%
G-M-F,5600,0.00561236%
G-M-G,5676,0.00568853%
G-M-H,5631,0.00564343%
G-M-I,5617,0.0056294%
G-M-J,5651,0.00566347%
G-M-K,5627,0.00563942%
G-M-L,5705,0.00571759%
G-M-M,5723,0.00573563%
G-M-N,5686,0.00569855%
G-M-O,5692,0.00570456%
G-M-P,5508,0.00552016%
G-M-Q,5607,0.00561938%
G-M-R,5648,0.00566047%
G-M-S,5600,0.00561236%
G-M-T,5716,0.00572862%
G-M-U,5572,0.0055843%
G-M-V,5681,0.00569354%
G-M-W,5649,0.00566147%
G-M-X,5682,0.00569454%
G-M-Y,5399,0.00541092%
G-M-Z,5594,0.00560635%
G-N-A,5658,0.00567049%
G-N-B,5710,0.0057226%
G-N-C,5547,0.00555924%
G-N-D,5718,0.00573062%
G-N-E,5642,0.00565445%
G-N-F,5706,0.00571859%
G-N-G,5820,0.00583285%
G-N-H,5640,0.00565245%
G-N-I,5684,0.00569655%
G-N-J,5685,0.00569755%
G-N-K,5696,0.00570857%
G-N-L,5738,0.00575067%
G-N-M,5675,0.00568753%
G-N-N,5679,0.00569154%
G-N-O,5549,0.00556125%
G-N-P,5848,0.00586091%
G-N-Q,5554,0.00556626%
G-N-R,5574,0.0055863%
G-N-S,5568,0.00558029%
G-N-T,5688,0.00570056%
G-N-U,5599,0.00561136%
G-N-V,5578,0.00559031%
G-N-W,5726,0.00573864%
G-N-X,5749,0.00576169%
G-N-Y,5682,0.00569454%
G-N-Z,5755,0.0057677%
G-O-A,5684,0.00569655%
G-O-B,5611,0.00562339%
G-O-C,5599,0.00561136%
G-O-D,5748,0.00576069%
G-O-E,5656,0.00566848%
G-O-F,5710,0.0057226%
G-O-G,5791,0.00580378%
G-O-H,5704,0.00571659%
G-O-I,5631,0.00564343%
G-O-J,5745,0.00575768%
G-O-K,5811,0.00582383%
G-O-L,5561,0.00557327%
G-O-M,5578,0.00559031%
G-O-N,5562,0.00557428%
G-O-O,5546,0.00555824%
G-O-P,5630,0.00564243%
G-O-Q,5761,0.00577372%
G-O-R,5588,0.00560033%
G-O-S,5739,0.00575167%
G-O-T,5706,0.00571859%
G-O-U,5687,0.00569955%
G-O-V,5601,0.00561336%
G-O-W,5763,0.00577572%
G-O-X,5537,0.00554922%
G-O-Y,5572,0.0055843%
G-O-Z,5873,0.00588596%
G-P-A,5873,0.00588596%
G-P-B,5682,0.00569454%
G-P-C,5671,0.00568352%
G-P-D,5694,0.00570657%
G-P-E,5741,0.00575367%
G-P-F,5770,0.00578274%
G-P-G,5702,0.00571459%
G-P-H,5726,0.00573864%
G-P-I,5665,0.0056775%
G-P-J,5725,0.00573764%
G-P-K,5740,0.00575267%
G-P-L,5552,0.00556425%
G-P-M,5645,0.00565746%
G-P-N,5585,0.00559733%
G-P-O,5756,0.00576871%
G-P-P,5647,0.00565946%
G-P-Q,5684,0.00569655%
G-P-R,5553,0.00556526%
G-P-S,5679,0.00569154%
G-P-T,5742,0.00575467%
G-P-U,5583,0.00559532%
G-P-V,5623,0.00563541%
G-P-W,5700,0.00571258%
G-P-X,5649,0.00566147%
G-P-Y,5769,0.00578173%
G-P-Z,5519,0.00553118%
G-Q-A,5767,0.00577973%
G-Q-B,5617,0.0056294%
G-Q-C,5621,0.00563341%
G-Q-D,5658,0.00567049%
G-Q-E,5574,0.0055863%
G-Q-F,5567,0.00557929%
G-Q-G,5741,0.00575367%
G-Q-H,5639,0.00565145%
G-Q-I,5723,0.00573563%
G-Q-J,5603,0.00561537%
G-Q-K,5685,0.00569755%
G-Q-L,5658,0.00567049%
G-Q-M,5771,0.00578374%
G-Q-N,5763,0.00577572%
G-Q-O,5774,0.00578674%
G-Q-P,5706,0.00571859%
G-Q-Q,5587,0.00559933%
G-Q-R,5586,0.00559833%
G-Q-S,5653,0.00566548%
G-Q-T,5779,0.00579176%
G-Q-U,5741,0.00575367%
G-Q-V,5680,0.00569254%
G-Q-W,5620,0.00563241%
G-Q-X,5629,0.00564142%
G-Q-Y,5681,0.00569354%
G-Q-Z,5618,0.0056304%
G-R-A,5681,0.00569354%
G-R-B,5516,0.00552818%
G-R-C,5633,0.00564543%
G-R-D,5698,0.00571058%
G-R-E,5663,0.0056755%
G-R-F,5632,0.00564443%
G-R-G,5585,0.00559733%
G-R-H,5685,0.00569755%
G-R-I,5771,0.00578374%
G-R-J,5704,0.00571659%
G-R-K,5647,0.00565946%
G-R-L,5602,0.00561437%
G-R-M,5717,0.00572962%
G-R-N,5782,0.00579476%
G-R-O,5674,0.00568652%
G-R-P,5624,0.00563641%
G-R-Q,5850,0.00586291%
G-R-R,5775,0.00578775%
G-R-S,5644,0.00565646%
G-R-T,5789,0.00580178%
G-R-U,5759,0.00577171%
G-R-V,5645,0.00565746%
G-R-W,5619,0.0056314%
G-R-X,5692,0.00570456%
G-R-Y,5716,0.00572862%
G-R-Z,5610,0.00562238%
G-S-A,5701,0.00571358%
G-S-B,5624,0.00563641%
G-S-C,5749,0.00576169%
G-S-D,5711,0.00572361%
G-S-E,5690,0.00570256%
G-S-F,5700,0.00571258%
G-S-G,5701,0.00571358%
G-S-H,5751,0.00576369%
G-S-I,5735,0.00574766%
G-S-J,5594,0.00560635%
G-S-K,5519,0.00553118%
G-S-L,5684,0.00569655%
G-S-M,5880,0.00589298%
G-S-N,5834,0.00584688%
G-S-O,5641,0.00565345%
G-S-P,5658,0.00567049%
G-S-Q,5634,0.00564644%
G-S-R,5444,0.00545602%
G-S-S,5578,0.00559031%
G-S-T,5572,0.0055843%
G-S-U,5482,0.0054941%
G-S-V,5522,0.00553419%
G-S-W,5734,0.00574666%
G-S-X,5670,0.00568252%
G-S-Y,5662,0.0056745%
G-S-Z,5632,0.00564443%
G-T-A,5766,0.00577873%
G-T-B,5687,0.00569955%
G-T-C,5606,0.00561837%
G-T-D,5725,0.00573764%
G-T-E,5672,0.00568452%
G-T-F,5619,0.0056314%
G-T-G,5590,0.00560234%
G-T-H,5754,0.0057667%
G-T-I,5686,0.00569855%
G-T-J,5578,0.00559031%
G-T-K,5752,0.0057647%
G-T-L,5668,0.00568051%
G-T-M,5483,0.0054951%
G-T-N,5699,0.00571158%
G-T-O,5676,0.00568853%
G-T-P,5772,0.00578474%
G-T-Q,5639,0.00565145%
G-T-R,5732,0.00574465%
G-T-S,5726,0.00573864%
G-T-T,5682,0.00569454%
G-T-U,5708,0.0057206%
G-T-V,5660,0.00567249%
G-T-W,5612,0.00562439%
G-T-X,5760,0.00577271%
G-T-Y,5839,0.00585189%
G-T-Z,5733,0.00574565%
G-U-A,5714,0.00572661%
G-U-B,5809,0.00582182%
G-U-C,5553,0.00556526%
G-U-D,5746,0.00575868%
G-U-E,5660,0.00567249%
G-U-F,5693,0.00570557%
G-U-G,5731,0.00574365%
G-U-H,5792,0.00580478%
G-U-I,5628,0.00564042%
G-U-J,5666,0.00567851%
G-U-K,5673,0.00568552%
G-U-L,5738,0.00575067%
G-U-M,5641,0.00565345%
G-U-N,5642,0.00565445%
G-U-O,5799,0.0058118%
G-U-P,5657,0.00566949%
G-U-Q,5743,0.00575568%
G-U-R,5644,0.00565646%
G-U-S,5689,0.00570156%
G-U-T,5779,0.00579176%
G-U-U,5677,0.00568953%
G-U-V,5735,0.00574766%
G-U-W,5757,0.00576971%
G-U-X,5604,0.00561637%
G-U-Y,5710,0.0057226%
G-U-Z,5626,0.00563842%
G-V-A,5681,0.00569354%
G-V-B,5619,0.0056314%
G-V-C,5633,0.00564543%
G-V-D,5764,0.00577672%
G-V-E,5782,0.00579476%
G-V-F,5586,0.00559833%
G-V-G,5748,0.00576069%
G-V-H,5629,0.00564142%
G-V-I,5672,0.00568452%
G-V-J,5690,0.00570256%
G-V-K,5613,0.00562539%
G-V-L,5659,0.00567149%
G-V-M,5621,0.00563341%
G-V-N,5552,0.00556425%
G-V-O,5719,0.00573162%
G-V-P,5662,0.0056745%
G-V-Q,5652,0.00566448%
G-V-R,5698,0.00571058%
G-V-S,5696,0.00570857%
G-V-T,5620,0.00563241%
G-V-U,5658,0.00567049%
G-V-V,5633,0.00564543%
G-V-W,5657,0.00566949%
G-V-X,5807,0.00581982%
G-V-Y,5715,0.00572761%
G-V-Z,5662,0.0056745%
G-W-A,5775,0.00578775%
G-W-B,5629,0.00564142%
G-W-C,5582,0.00559432%
G-W-D,5653,0.00566548%
G-W-E,5710,0.0057226%
G-W-F,5663,0.0056755%
G-W-G,5767,0.00577973%
G-W-H,5656,0.00566848%
G-W-I,5730,0.00574265%
G-W-J,5681,0.00569354%
G-W-K,5754,0.0057667%
G-W-L,5629,0.00564142%
G-W-M,5706,0.00571859%
G-W-N,5672,0.00568452%
G-W-O,5708,0.0057206%
G-W-P,5703,0.00571559%
G-W-Q,5657,0.00566949%
G-W-R,5508,0.00552016%
G-W-S,5742,0.00575467%
G-W-T,5583,0.00559532%
G-W-U,5666,0.00567851%
G-W-V,5671,0.00568352%
G-W-W,5583,0.00559532%
G-W-X,5600,0.00561236%
G-W-Y,5539,0.00555123%
G-W-Z,5671,0.00568352%
G-X-A,5618,0.0056304%
G-X-B,5658,0.00567049%
G-X-C,5583,0.00559532%
G-X-D,5676,0.00568853%
G-X-E,5731,0.00574365%
G-X-F,5705,0.00571759%
G-X-G,5742,0.00575467%
G-X-H,5593,0.00560535%
G-X-I,5630,0.00564243%
G-X-J,5673,0.00568552%
G-X-K,5692,0.00570456%
G-X-L,5675,0.00568753%
G-X-M,5628,0.00564042%
G-X-N,5740,0.00575267%
G-X-O,5745,0.00575768%
G-X-P,5701,0.00571358%
G-X-Q,5761,0.00577372%
G-X-R,5681,0.00569354%
G-X-S,5702,0.00571459%
G-X-T,5638,0.00565044%
